agent,session,episode,score,epsilon,beta
dqn_agent_1_2,0,1,0.0,1.0,0
dqn_agent_1_2,0,2,2.0,0.995,0
dqn_agent_1_2,0,3,3.0,0.990025,0
dqn_agent_1_2,0,4,1.0,0.985074875,0
dqn_agent_1_2,0,5,-2.0,0.9801495006250001,0
dqn_agent_1_2,0,6,0.0,0.9752487531218751,0
dqn_agent_1_2,0,7,1.0,0.9703725093562657,0
dqn_agent_1_2,0,8,0.0,0.9655206468094844,0
dqn_agent_1_2,0,9,1.0,0.960693043575437,0
dqn_agent_1_2,0,10,-1.0,0.9558895783575597,0
dqn_agent_1_2,0,11,1.0,0.9511101304657719,0
dqn_agent_1_2,0,12,0.0,0.946354579813443,0
dqn_agent_1_2,0,13,0.0,0.9416228069143757,0
dqn_agent_1_2,0,14,-1.0,0.9369146928798039,0
dqn_agent_1_2,0,15,0.0,0.9322301194154049,0
dqn_agent_1_2,0,16,0.0,0.9275689688183278,0
dqn_agent_1_2,0,17,0.0,0.9229311239742362,0
dqn_agent_1_2,0,18,1.0,0.918316468354365,0
dqn_agent_1_2,0,19,0.0,0.9137248860125932,0
dqn_agent_1_2,0,20,1.0,0.9091562615825302,0
dqn_agent_1_2,0,21,1.0,0.9046104802746175,0
dqn_agent_1_2,0,22,0.0,0.9000874278732445,0
dqn_agent_1_2,0,23,0.0,0.8955869907338783,0
dqn_agent_1_2,0,24,1.0,0.8911090557802088,0
dqn_agent_1_2,0,25,0.0,0.8866535105013078,0
dqn_agent_1_2,0,26,2.0,0.8822202429488013,0
dqn_agent_1_2,0,27,0.0,0.8778091417340573,0
dqn_agent_1_2,0,28,0.0,0.8734200960253871,0
dqn_agent_1_2,0,29,2.0,0.8690529955452602,0
dqn_agent_1_2,0,30,0.0,0.8647077305675338,0
dqn_agent_1_2,0,31,0.0,0.8603841919146962,0
dqn_agent_1_2,0,32,-1.0,0.8560822709551227,0
dqn_agent_1_2,0,33,2.0,0.851801859600347,0
dqn_agent_1_2,0,34,0.0,0.8475428503023453,0
dqn_agent_1_2,0,35,1.0,0.8433051360508336,0
dqn_agent_1_2,0,36,0.0,0.8390886103705794,0
dqn_agent_1_2,0,37,0.0,0.8348931673187264,0
dqn_agent_1_2,0,38,2.0,0.8307187014821328,0
dqn_agent_1_2,0,39,0.0,0.8265651079747222,0
dqn_agent_1_2,0,40,1.0,0.8224322824348486,0
dqn_agent_1_2,0,41,2.0,0.8183201210226743,0
dqn_agent_1_2,0,42,3.0,0.8142285204175609,0
dqn_agent_1_2,0,43,-1.0,0.810157377815473,0
dqn_agent_1_2,0,44,0.0,0.8061065909263957,0
dqn_agent_1_2,0,45,0.0,0.8020760579717637,0
dqn_agent_1_2,0,46,0.0,0.798065677681905,0
dqn_agent_1_2,0,47,1.0,0.7940753492934954,0
dqn_agent_1_2,0,48,-1.0,0.7901049725470279,0
dqn_agent_1_2,0,49,3.0,0.7861544476842928,0
dqn_agent_1_2,0,50,2.0,0.7822236754458713,0
dqn_agent_1_2,0,51,2.0,0.778312557068642,0
dqn_agent_1_2,0,52,4.0,0.7744209942832988,0
dqn_agent_1_2,0,53,1.0,0.7705488893118823,0
dqn_agent_1_2,0,54,-1.0,0.7666961448653229,0
dqn_agent_1_2,0,55,2.0,0.7628626641409962,0
dqn_agent_1_2,0,56,0.0,0.7590483508202912,0
dqn_agent_1_2,0,57,1.0,0.7552531090661897,0
dqn_agent_1_2,0,58,4.0,0.7514768435208588,0
dqn_agent_1_2,0,59,5.0,0.7477194593032545,0
dqn_agent_1_2,0,60,1.0,0.7439808620067382,0
dqn_agent_1_2,0,61,1.0,0.7402609576967045,0
dqn_agent_1_2,0,62,1.0,0.736559652908221,0
dqn_agent_1_2,0,63,3.0,0.7328768546436799,0
dqn_agent_1_2,0,64,4.0,0.7292124703704616,0
dqn_agent_1_2,0,65,2.0,0.7255664080186093,0
dqn_agent_1_2,0,66,4.0,0.7219385759785162,0
dqn_agent_1_2,0,67,1.0,0.7183288830986236,0
dqn_agent_1_2,0,68,2.0,0.7147372386831305,0
dqn_agent_1_2,0,69,2.0,0.7111635524897149,0
dqn_agent_1_2,0,70,1.0,0.7076077347272662,0
dqn_agent_1_2,0,71,2.0,0.7040696960536299,0
